,,,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25
ZFWB47,ZFWB,C19,0.052,0.017,0.005,0.007,0.017,0.004,0.005,0.005,0.007,0.022,0.011,0.006,0.005,0.005,0.004,0.011,0.004,0.004,0.726,0.004,0.031,0.02,0.011,0.007,0.008
ZFWB48,ZFWB,C19,0.004,0.006,0.106,0.005,0.009,0.09,0.008,0.004,0.004,0.008,0.005,0.01,0.006,0.006,0.003,0.005,0.004,0.003,0.614,0.004,0.028,0.009,0.049,0.006,0.003
ZFWB49,ZFWB,C19,0.005,0.004,0.025,0.026,0.006,0.013,0.028,0.02,0.004,0.008,0.007,0.007,0.014,0.022,0.014,0.049,0.031,0.005,0.642,0.02,0.022,0.007,0.01,0.008,0.002
,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZCF01,ZCF,C23,0.007,0.009,0.003,0.005,0.01,0.015,0.004,0.004,0.003,0.008,0.003,0.004,0.013,0.004,0.003,0.005,0.006,0.026,0.012,0.003,0.042,0.032,0.742,0.005,0.032
ZCF02,ZCF,C23,0.01,0.269,0.004,0.005,0.028,0.007,0.003,0.003,0.003,0.025,0.004,0.004,0.004,0.003,0.002,0.004,0.006,0.005,0.06,0.002,0.037,0.014,0.48,0.005,0.011
ZCF03,ZCF,C23,0.013,0.009,0.003,0.007,0.069,0.008,0.01,0.007,0.007,0.014,0.004,0.007,0.011,0.01,0.003,0.007,0.017,0.008,0.053,0.009,0.152,0.005,0.442,0.005,0.12
ZCF04,ZCF,C23,0.004,0.007,0.003,0.003,0.005,0.004,0.004,0.007,0.004,0.005,0.004,0.005,0.003,0.005,0.004,0.003,0.005,0.003,0.003,0.009,0.008,0.005,0.826,0.004,0.067
ZCF05,ZCF,C23,0.016,0.014,0.003,0.003,0.035,0.007,0.004,0.003,0.003,0.139,0.003,0.003,0.004,0.003,0.003,0.004,0.004,0.003,0.011,0.002,0.553,0.026,0.142,0.009,0.006
ZCF06,ZCF,C23,0.005,0.008,0.006,0.007,0.019,0.03,0.009,0.012,0.004,0.041,0.005,0.012,0.008,0.008,0.008,0.012,0.007,0.007,0.007,0.007,0.023,0.006,0.676,0.033,0.041
ZCF07,ZCF,C23,0.007,0.004,0.005,0.004,0.004,0.004,0.004,0.003,0.003,0.006,0.006,0.003,0.005,0.003,0.002,0.003,0.012,0.019,0.03,0.003,0.639,0.017,0.207,0.003,0.004
ZCF08,ZCF,C23,0.005,0.015,0.01,0.004,0.003,0.005,0.005,0.005,0.002,0.005,0.004,0.004,0.005,0.003,0.005,0.015,0.011,0.011,0.016,0.006,0.021,0.003,0.823,0.004,0.009
ZCF09,ZCF,C23,0.003,0.007,0.07,0.017,0.013,0.025,0.033,0.016,0.019,0.012,0.012,0.01,0.086,0.01,0.011,0.01,0.016,0.039,0.005,0.008,0.011,0.008,0.43,0.019,0.112
ZCF10,ZCF,C23,0.018,0.008,0.008,0.016,0.012,0.015,0.008,0.01,0.006,0.006,0.008,0.008,0.013,0.006,0.008,0.058,0.012,0.013,0.018,0.007,0.496,0.012,0.216,0.009,0.01
ZCF11,ZCF,C23,0.012,0.004,0.004,0.007,0.005,0.004,0.012,0.008,0.007,0.006,0.006,0.003,0.007,0.008,0.005,0.004,0.006,0.005,0.019,0.01,0.739,0.005,0.103,0.003,0.005
ZCF12,ZCF,C23,0.005,0.013,0.008,0.004,0.029,0.023,0.004,0.004,0.003,0.011,0.004,0.004,0.003,0.004,0.003,0.003,0.003,0.002,0.004,0.003,0.294,0.009,0.512,0.003,0.046
ZCF13,ZCF,C23,0.024,0.01,0.016,0.003,0.026,0.003,0.003,0.004,0.003,0.008,0.007,0.004,0.003,0.005,0.006,0.003,0.003,0.006,0.01,0.005,0.009,0.012,0.813,0.007,0.007
ZCF14,ZCF,C23,0.014,0.017,0.01,0.012,0.039,0.143,0.021,0.018,0.009,0.291,0.009,0.011,0.007,0.011,0.015,0.007,0.005,0.006,0.007,0.029,0.138,0.012,0.154,0.005,0.009
ZCF15,ZCF,C23,0.01,0.006,0.01,0.005,0.014,0.011,0.007,0.004,0.003,0.188,0.005,0.007,0.009,0.006,0.002,0.006,0.007,0.004,0.043,0.003,0.383,0.005,0.233,0.011,0.019
ZCF16,ZCF,C23,0.009,0.004,0.004,0.004,0.008,0.017,0.004,0.003,0.003,0.008,0.003,0.003,0.005,0.004,0.003,0.004,0.007,0.009,0.01,0.003,0.01,0.004,0.855,0.007,0.009
ZCF17,ZCF,C23,0.008,0.004,0.003,0.004,0.007,0.009,0.005,0.004,0.004,0.006,0.003,0.003,0.004,0.004,0.003,0.005,0.005,0.005,0.023,0.004,0.028,0.006,0.845,0.004,0.003
ZCF18,ZCF,C23,0.025,0.012,0.01,0.004,0.036,0.006,0.004,0.006,0.003,0.155,0.005,0.006,0.004,0.007,0.005,0.004,0.003,0.003,0.011,0.006,0.009,0.013,0.633,0.011,0.02
ZCF19,ZCF,C23,0.009,0.006,0.003,0.006,0.026,0.075,0.006,0.005,0.003,0.667,0.004,0.005,0.003,0.005,0.004,0.004,0.004,0.003,0.01,0.003,0.03,0.009,0.036,0.01,0.063
ZCF20,ZCF,C23,0.013,0.01,0.004,0.014,0.006,0.009,0.015,0.009,0.017,0.015,0.008,0.007,0.013,0.013,0.005,0.007,0.007,0.007,0.022,0.011,0.037,0.01,0.731,0.003,0.006
ZCF21,ZCF,C23,0.014,0.009,0.005,0.005,0.029,0.014,0.007,0.005,0.003,0.023,0.004,0.004,0.007,0.004,0.003,0.016,0.011,0.005,0.013,0.003,0.674,0.006,0.059,0.01,0.069
ZCF22,ZCF,C23,0.017,0.006,0.004,0.006,0.015,0.006,0.009,0.006,0.005,0.024,0.009,0.041,0.035,0.006,0.004,0.008,0.014,0.011,0.012,0.007,0.009,0.099,0.639,0.005,0.004
ZCF23,ZCF,C23,0.012,0.005,0.004,0.004,0.005,0.004,0.003,0.003,0.003,0.004,0.003,0.003,0.004,0.003,0.003,0.004,0.004,0.006,0.009,0.003,0.008,0.007,0.888,0.003,0.005
ZCF24,ZCF,C23,0.003,0.003,0.019,0.01,0.005,0.014,0.009,0.006,0.005,0.005,0.006,0.005,0.011,0.005,0.004,0.012,0.021,0.013,0.009,0.005,0.01,0.003,0.8,0.007,0.008
ZCF25,ZCF,C23,0.004,0.005,0.006,0.004,0.007,0.01,0.01,0.01,0.004,0.009,0.004,0.007,0.006,0.005,0.01,0.007,0.005,0.007,0.005,0.015,0.033,0.005,0.815,0.004,0.004
ZCF26,ZCF,C23,0.005,0.005,0.003,0.004,0.009,0.01,0.005,0.004,0.003,0.008,0.003,0.003,0.006,0.004,0.003,0.005,0.006,0.006,0.004,0.003,0.012,0.005,0.868,0.016,0.003
ZCF27,ZCF,C23,0.01,0.008,0.005,0.004,0.01,0.01,0.004,0.003,0.003,0.016,0.005,0.004,0.004,0.004,0.003,0.004,0.007,0.007,0.02,0.003,0.252,0.007,0.594,0.005,0.009
ZCF28,ZCF,C23,0.016,0.007,0.004,0.003,0.02,0.006,0.003,0.005,0.002,0.01,0.004,0.004,0.003,0.003,0.005,0.003,0.003,0.006,0.012,0.005,0.007,0.017,0.839,0.007,0.004
ZCF29,ZCF,C23,0.006,0.011,0.022,0.009,0.05,0.105,0.01,0.014,0.007,0.016,0.005,0.012,0.022,0.006,0.027,0.005,0.033,0.007,0.02,0.003,0.037,0.012,0.028,0.009,0.525
ZCF30,ZCF,C23,0.013,0.005,0.005,0.003,0.008,0.004,0.005,0.004,0.003,0.032,0.004,0.004,0.004,0.003,0.005,0.005,0.004,0.008,0.008,0.005,0.013,0.006,0.836,0.009,0.005
ZCF31,ZCF,C23,0.005,0.022,0.003,0.003,0.008,0.005,0.003,0.003,0.004,0.02,0.003,0.003,0.003,0.003,0.002,0.003,0.003,0.002,0.043,0.002,0.009,0.005,0.828,0.005,0.008
ZCF32,ZCF,C23,0.01,0.004,0.003,0.004,0.318,0.01,0.006,0.008,0.003,0.023,0.003,0.006,0.004,0.007,0.006,0.004,0.004,0.004,0.007,0.015,0.009,0.012,0.512,0.005,0.013
ZCF33,ZCF,C23,0.014,0.018,0.003,0.003,0.103,0.006,0.002,0.003,0.003,0.01,0.002,0.003,0.003,0.002,0.002,0.003,0.003,0.003,0.003,0.002,0.006,0.043,0.749,0.004,0.006
ZCF34,ZCF,C23,0.005,0.005,0.012,0.014,0.065,0.032,0.016,0.079,0.005,0.012,0.008,0.02,0.007,0.06,0.036,0.032,0.03,0.007,0.014,0.059,0.215,0.007,0.246,0.005,0.01
ZCF35,ZCF,C23,0.004,0.006,0.006,0.011,0.005,0.006,0.007,0.007,0.005,0.005,0.004,0.023,0.011,0.011,0.004,0.006,0.007,0.003,0.005,0.006,0.006,0.004,0.777,0.006,0.063
ZCF36,ZCF,C23,0.068,0.042,0.003,0.008,0.02,0.011,0.004,0.003,0.012,0.021,0.003,0.004,0.005,0.003,0.003,0.006,0.004,0.005,0.005,0.003,0.039,0.051,0.664,0.006,0.008
ZCF37,ZCF,C23,0.012,0.005,0.004,0.009,0.033,0.021,0.006,0.006,0.005,0.007,0.004,0.007,0.006,0.006,0.003,0.03,0.009,0.004,0.031,0.005,0.177,0.021,0.55,0.004,0.035
ZCF38,ZCF,C23,0.01,0.004,0.012,0.006,0.006,0.006,0.009,0.009,0.003,0.012,0.007,0.015,0.007,0.008,0.009,0.007,0.004,0.004,0.04,0.006,0.017,0.007,0.767,0.017,0.006
ZCF39,ZCF,C23,0.011,0.004,0.01,0.012,0.006,0.005,0.022,0.04,0.007,0.01,0.006,0.008,0.006,0.027,0.008,0.054,0.421,0.005,0.015,0.047,0.13,0.004,0.13,0.003,0.011
ZCF40,ZCF,C23,0.012,0.004,0.004,0.007,0.006,0.023,0.012,0.01,0.005,0.018,0.004,0.009,0.009,0.011,0.006,0.009,0.009,0.011,0.024,0.02,0.036,0.005,0.729,0.011,0.005
ZCF41,ZCF,C23,0.026,0.012,0.003,0.005,0.062,0.132,0.005,0.004,0.003,0.26,0.003,0.003,0.006,0.004,0.003,0.005,0.005,0.011,0.009,0.004,0.103,0.013,0.258,0.015,0.045
ZCF42,ZCF,C23,0.004,0.006,0.007,0.01,0.012,0.009,0.01,0.011,0.007,0.013,0.009,0.004,0.009,0.006,0.004,0.017,0.014,0.008,0.041,0.003,0.178,0.005,0.529,0.032,0.051
