Ind,Pop,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25
ZFWB10,Werner-Boyce,0.008,0.004,0.011,0.006,0.021,0.02,0.003,0.005,0.012,0.012,0.004,0.007,0.005,0.007,0.015,0.007,0.029,0.004,0.006,0.759,0.018,0.004,0.005,0.021,0.008
ZFWB11,Werner-Boyce,0.395,0.006,0.006,0.009,0.009,0.005,0.004,0.004,0.011,0.003,0.003,0.003,0.004,0.004,0.004,0.005,0.023,0.005,0.011,0.464,0.005,0.004,0.003,0.005,0.006
ZFWB12,Werner-Boyce,0.421,0.005,0.005,0.003,0.009,0.015,0.008,0.004,0.002,0.003,0.005,0.026,0.004,0.031,0.012,0.004,0.002,0.007,0.004,0.389,0.004,0.004,0.005,0.004,0.023
ZFWB13,Werner-Boyce,0.112,0.023,0.004,0.008,0.022,0.005,0.005,0.008,0.004,0.017,0.011,0.065,0.009,0.033,0.041,0.005,0.004,0.007,0.007,0.556,0.007,0.006,0.005,0.028,0.008
ZFWB14,Werner-Boyce,0.026,0.004,0.005,0.005,0.005,0.003,0.007,0.005,0.003,0.003,0.004,0.004,0.006,0.005,0.009,0.004,0.004,0.005,0.004,0.867,0.004,0.005,0.005,0.005,0.004
ZFWB15,Werner-Boyce,0.168,0.005,0.009,0.005,0.038,0.013,0.011,0.006,0.005,0.004,0.004,0.004,0.007,0.008,0.005,0.012,0.006,0.006,0.008,0.637,0.006,0.005,0.012,0.008,0.007
ZFWB18,Werner-Boyce,0.318,0.004,0.003,0.006,0.006,0.002,0.005,0.005,0.003,0.003,0.004,0.004,0.006,0.006,0.007,0.005,0.003,0.005,0.004,0.581,0.004,0.004,0.005,0.004,0.003
ZFWB19,Werner-Boyce,0.256,0.004,0.006,0.006,0.019,0.025,0.004,0.004,0.004,0.003,0.005,0.003,0.003,0.003,0.003,0.022,0.005,0.004,0.014,0.576,0.01,0.004,0.004,0.004,0.009
ZFWB20,Werner-Boyce,0.018,0.003,0.005,0.006,0.008,0.005,0.006,0.006,0.003,0.003,0.003,0.005,0.006,0.005,0.007,0.006,0.004,0.005,0.007,0.871,0.004,0.005,0.005,0.003,0.004
ZFWB21,Werner-Boyce,0.319,0.007,0.005,0.013,0.012,0.007,0.007,0.006,0.004,0.003,0.006,0.004,0.007,0.005,0.006,0.015,0.003,0.009,0.008,0.53,0.005,0.005,0.006,0.005,0.003
ZFWB22,Werner-Boyce,0.033,0.004,0.011,0.009,0.027,0.018,0.017,0.011,0.004,0.003,0.003,0.038,0.007,0.061,0.029,0.007,0.005,0.009,0.007,0.644,0.005,0.009,0.01,0.003,0.026
ZFWB23,Werner-Boyce,0.02,0.016,0.005,0.026,0.012,0.004,0.01,0.011,0.004,0.018,0.008,0.029,0.013,0.012,0.03,0.009,0.005,0.016,0.006,0.641,0.019,0.009,0.028,0.045,0.004
ZFWB24,Werner-Boyce,0.014,0.003,0.003,0.015,0.006,0.014,0.005,0.004,0.002,0.003,0.005,0.004,0.005,0.004,0.01,0.007,0.003,0.004,0.005,0.861,0.005,0.004,0.004,0.006,0.005
ZFWB25,Werner-Boyce,0.008,0.004,0.007,0.011,0.007,0.008,0.005,0.006,0.004,0.003,0.003,0.004,0.005,0.004,0.006,0.005,0.009,0.005,0.005,0.868,0.006,0.005,0.004,0.004,0.005
ZFWB26,Werner-Boyce,0.37,0.003,0.028,0.006,0.014,0.011,0.011,0.007,0.003,0.003,0.005,0.008,0.005,0.009,0.007,0.008,0.006,0.004,0.012,0.438,0.009,0.006,0.009,0.002,0.016
ZFWB27,Werner-Boyce,0.652,0.004,0.018,0.008,0.005,0.003,0.008,0.008,0.003,0.005,0.004,0.008,0.006,0.005,0.006,0.029,0.005,0.007,0.013,0.171,0.006,0.009,0.006,0.003,0.007
ZFWB29,Werner-Boyce,0.186,0.005,0.006,0.011,0.029,0.119,0.006,0.004,0.003,0.003,0.006,0.003,0.004,0.005,0.004,0.01,0.012,0.004,0.009,0.517,0.014,0.003,0.006,0.005,0.027
ZFWB30,Werner-Boyce,0.393,0.008,0.003,0.03,0.024,0.009,0.004,0.004,0.005,0.003,0.011,0.003,0.005,0.004,0.004,0.027,0.015,0.005,0.01,0.391,0.016,0.004,0.004,0.007,0.009
ZFWB31,Werner-Boyce,0.635,0.003,0.004,0.005,0.004,0.002,0.007,0.005,0.002,0.004,0.004,0.004,0.005,0.005,0.007,0.004,0.003,0.005,0.004,0.269,0.003,0.005,0.005,0.004,0.003
ZFWB32,Werner-Boyce,0.487,0.007,0.021,0.005,0.019,0.01,0.006,0.006,0.01,0.005,0.013,0.004,0.005,0.004,0.004,0.021,0.016,0.008,0.009,0.274,0.036,0.005,0.006,0.005,0.015
ZFWB35,Werner-Boyce,0.68,0.003,0.004,0.003,0.003,0.002,0.005,0.004,0.002,0.002,0.003,0.004,0.004,0.004,0.005,0.004,0.003,0.003,0.004,0.241,0.002,0.004,0.003,0.003,0.003
ZFWB36,Werner-Boyce,0.649,0.006,0.014,0.008,0.004,0.004,0.008,0.004,0.004,0.003,0.003,0.008,0.005,0.009,0.004,0.01,0.004,0.005,0.008,0.21,0.004,0.004,0.006,0.004,0.009
ZFWB37,Werner-Boyce,0.599,0.003,0.01,0.004,0.005,0.004,0.011,0.006,0.003,0.003,0.004,0.01,0.005,0.009,0.006,0.005,0.003,0.004,0.006,0.27,0.005,0.005,0.008,0.003,0.008
ZFWB38,Werner-Boyce,0.304,0.004,0.021,0.005,0.009,0.006,0.008,0.005,0.003,0.003,0.003,0.004,0.005,0.007,0.005,0.007,0.006,0.004,0.007,0.554,0.006,0.005,0.006,0.004,0.01
ZFWB39,Werner-Boyce,0.571,0.006,0.005,0.012,0.004,0.002,0.006,0.005,0.003,0.004,0.004,0.005,0.007,0.005,0.005,0.004,0.005,0.007,0.004,0.313,0.004,0.004,0.004,0.005,0.004
ZFWB40,Werner-Boyce,0.275,0.009,0.003,0.012,0.02,0.005,0.005,0.004,0.005,0.003,0.007,0.003,0.005,0.004,0.004,0.011,0.012,0.005,0.007,0.573,0.007,0.003,0.004,0.007,0.005
ZFWB41,Werner-Boyce,0.29,0.007,0.006,0.006,0.016,0.007,0.012,0.005,0.005,0.004,0.005,0.006,0.006,0.009,0.006,0.007,0.007,0.006,0.009,0.548,0.006,0.005,0.011,0.006,0.007
ZFWB42,Werner-Boyce,0.407,0.004,0.004,0.004,0.005,0.002,0.004,0.004,0.002,0.003,0.003,0.003,0.005,0.005,0.004,0.003,0.003,0.004,0.003,0.509,0.004,0.004,0.003,0.004,0.003
ZFWB43,Werner-Boyce,0.692,0.003,0.005,0.003,0.004,0.002,0.004,0.004,0.002,0.002,0.003,0.004,0.003,0.004,0.004,0.006,0.003,0.003,0.005,0.229,0.002,0.003,0.003,0.003,0.003
ZFWB44,Werner-Boyce,0.4,0.005,0.297,0.004,0.005,0.006,0.007,0.005,0.004,0.003,0.005,0.006,0.004,0.006,0.004,0.108,0.006,0.004,0.041,0.038,0.006,0.005,0.005,0.003,0.023
ZFWB46,Werner-Boyce,0.557,0.005,0.005,0.039,0.006,0.006,0.004,0.004,0.002,0.003,0.007,0.003,0.004,0.004,0.004,0.023,0.009,0.004,0.007,0.267,0.011,0.004,0.003,0.004,0.014
ZFWB47,Werner-Boyce,0.536,0.006,0.039,0.004,0.017,0.012,0.012,0.005,0.006,0.004,0.011,0.004,0.005,0.006,0.004,0.021,0.011,0.006,0.008,0.222,0.022,0.005,0.011,0.006,0.016
ZFWB48,Werner-Boyce,0.382,0.006,0.003,0.075,0.007,0.006,0.005,0.004,0.003,0.003,0.006,0.003,0.006,0.005,0.005,0.032,0.009,0.005,0.022,0.289,0.01,0.004,0.004,0.099,0.009
ZFWB49,Werner-Boyce,0.446,0.006,0.004,0.012,0.007,0.003,0.039,0.031,0.002,0.012,0.006,0.004,0.011,0.012,0.045,0.015,0.008,0.024,0.009,0.223,0.005,0.037,0.004,0.025,0.008
